Sample ID,Location,Sample Date,Matrix,Sample Depth ft bgs,Analyte,Result,Units,Reporting Limit,Qualifier,Latitude,Longitude,Groundwater Elevation ft,Depth to Water ft,Site Area,Analytical Method
MW-1-2023Q1-B,MW-1,2023-02-16,Groundwater,,Benzene,16.8,ug/L,0.5,,35.47821,-97.51566,1171.49,12.73,Source,EPA 8260D
MW-1-2023Q1-T,MW-1,2023-02-16,Groundwater,,Toluene,259,ug/L,1,,35.47821,-97.51566,1171.49,12.73,Source,EPA 8260D
MW-1-2023Q1-E,MW-1,2023-02-16,Groundwater,,Ethylbenzene,69.4,ug/L,1,,35.47821,-97.51566,1171.49,12.73,Source,EPA 8260D
MW-1-2023Q1-X,MW-1,2023-02-16,Groundwater,,Xylenes,425,ug/L,2,,35.47821,-97.51566,1171.49,12.73,Source,EPA 8260D
MW-1-2023Q1-T,MW-1,2023-02-16,Groundwater,,Trichloroethene,12.6,ug/L,0.5,,35.47821,-97.51566,1171.49,12.73,Source,EPA 8260D
MW-1-2023Q1-T,MW-1,2023-02-16,Groundwater,,Tetrachloroethene,8.85,ug/L,0.5,,35.47821,-97.51566,1171.49,12.73,Source,EPA 8260D
MW-1-2023Q1-VC,MW-1,2023-02-16,Groundwater,,Vinyl chloride,2.09,ug/L,0.2,,35.47821,-97.51566,1171.49,12.73,Source,EPA 8260D
MW-1-2023Q1-A,MW-1,2023-02-16,Groundwater,,Arsenic,9.33,ug/L,1,,35.47821,-97.51566,1171.49,12.73,Source,EPA 6010D
MW-1-2023Q1-NAN,MW-1,2023-02-16,Groundwater,,Nitrate as N,4134,ug/L,50,,35.47821,-97.51566,1171.49,12.73,Source,EPA 300.0
MW-2-2023Q1-B,MW-2,2023-02-16,Groundwater,,Benzene,14.7,ug/L,0.5,,35.47842,-97.51498,1171.04,13.18,Source,EPA 8260D
MW-2-2023Q1-T,MW-2,2023-02-16,Groundwater,,Toluene,181,ug/L,1,,35.47842,-97.51498,1171.04,13.18,Source,EPA 8260D
MW-2-2023Q1-E,MW-2,2023-02-16,Groundwater,,Ethylbenzene,48.2,ug/L,1,R,35.47842,-97.51498,1171.04,13.18,Source,EPA 8260D
MW-2-2023Q1-X,MW-2,2023-02-16,Groundwater,,Xylenes,313,ug/L,2,,35.47842,-97.51498,1171.04,13.18,Source,EPA 8260D
